server_id,date,start_time,stop_time,action,timezone,title
win-server-1,2026-06-01,08:25,10:45,streaming,America/New_York,Divine Liturgy
mac-server-1,2026-06-03,05:25,07:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-06-04,18:25,20:45,streaming,America/New_York,Mahragan ElKeraza
win-server-1,2026-06-06,17:55,22:15,streaming,America/New_York,Vespers + General meeting and Bible Study & Hymns Services + Midnight Praises - Tasbeha
win-server-1,2026-06-07,07:55,10:45,streaming,America/New_York,Divine Liturgy
mac-server-1,2026-06-07,08:25,10:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-06-07,11:55,13:15,streaming,America/New_York,Deacons Meeting
