server_id,date,start_time,stop_time,action,timezone
win-server-1,2026-03-02,15:55,18:45,streaming,America/New_York
mac-server-1,2026-03-04,05:25,07:45,streaming,America/New_York
win-server-1,2026-03-06,10:25,13:15,streaming,America/New_York
win-server-1,2026-03-07,07:25,10:45,streaming,America/New_York
win-server-1,2026-03-07,16:55,22:15,streaming,America/New_York
win-server-1,2026-03-08,07:55,10:45,streaming,America/New_York
mac-server-1,2026-03-08,08:25,10:45,streaming,America/New_York
