server_id,date,start_time,stop_time,action,timezone,title
win-server-1,2026-03-30,15:55,18:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-03-31,10:25,13:15,streaming,America/New_York,Divine Liturgy
mac-server-1,2026-04-01,05:25,07:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-04-02,15:55,18:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-04-03,09:25,13:15,streaming,America/New_York,Last Friday Divine Liturgy & General Unction of the Sick
win-server-1,2026-04-04,17:55,21:15,streaming,America/New_York,Palm Sunday Vespers + Midnight Praises
win-server-1,2026-04-05,06:55,13:15,streaming,America/New_York,Palm Sunday Divine Liturgy + General Funeral Prayers
win-server-1,2026-04-05,17:55,21:15,streaming,America/New_York,Monday Eve Pascha Prayers
mac-server-1,2026-04-05,18:55,20:15,streaming,America/New_York,Monday Eve Youth Pascha Prayers
