server_id,date,start_time,stop_time,action,timezone,title
win-server-1,2026-08-18,05:25,07:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-08-18,18:55,21:15,streaming,America/New_York,St. Mary's Revival
win-server-1,2026-08-19,08:25,10:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-08-19,18:55,21:15,streaming,America/New_York,St. Mary's Revival
win-server-1,2026-08-20,08:25,10:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-08-20,18:55,21:15,streaming,America/New_York,St. Mary's Revival
win-server-1,2026-08-21,08:25,10:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-08-21,18:55,21:15,streaming,America/New_York,St. Mary's Revival
win-server-1,2026-08-22,08:25,10:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-08-22,17:55,22:15,streaming,America/New_York,Vespers & Midnight Praises (Tasbeha)
win-server-1,2026-08-23,07:55,10:45,streaming,America/New_York,Divine Liturgy
mac-server-1,2026-08-23,08:25,10:45,streaming,America/New_York,Divine Liturgy
